idx,autoname,type,name
0,ID_EPC5,permanent,ID_EPC5
1,ec5_uuid,permanent,ec5_uuid
2,created_at,unuseful,
3,uploaded_at,unuseful,
4,title,permanent,title
5,2_1What_day_is_it,permanent,1_Date
6,3_2What_time_is_it,permanent,2_Time
7,4_3How_old_are_you,fixed,3_Age
8,5_4What_is_your_gend,fixed,4_Gender
9,6_5Are_you_at_the_AL,fixed,5_At_ALPhA
10,8_5a2_Take_a_photo_o,picture,5a2_ALPhA_Photo
11,9_Would_you_like_to_,unuseful,
12,10_5a3_Take_a_photo_,picture,5a3_ALPhA_Photo
13,11_Would_you_like_to,unuseful,
14,12_5a4_Take_a_photo_,picture,5a4_ALPhA_Photo
15,13_Would_you_like_to,unuseful,
16,14_5a5_Take_a_photo_,picture,5a5_ALPhA_Photo
17,15_Would_you_like_to,unuseful,
18,16_5a5_Take_a_photo_,picture,5a6_ALPhA_Photo
19,18_5b1_Please_use_as,audio,5b1_ALPhA_Location_Description
20,19_5b2_Anything_else,open,5b2_ALPhA_Location_Description
21,20_6_Which_type_of_p,fixed,6_Public_Space_Type
22,21_6x_Please_give_a_,open,6x_Public_Space_Type_Description
23,23_6a1_Description_o,audio,6a1_Public_Space_Type_Description
24,24_6a2_Please_add_an,open,6a2_Public_Space_Type_Description
25,25_7What_is_the_natu,fixed,7_Nature_Excercise_Perfomed_Oserved
26,26_7a_Please_give_th,open,7a_Nature_Excercise_Perfomed_Oserved
27,27_8How_do_you_andor,fixed,8_How_People_Exercise
28,28_9How_is_the_exerc,fixed,9_How_Exercise_Organized
29,29_9a_Please_give_de,open,9a_Who_Organizes
30,30_10_Are_you_involv,fixed,10_Involved_In_Organization
31,31_10a_Please_give_a,open,10a_Nature_Of_Involvement
32,32__11_Are_you_aware,fixed,11_Exercise_Ocurring_In_Lockdown
33,33_11a_Please_give_d,open,11a_Activity_Type_In_Lockdown
34,34_11b_Did_you_parti,fixed,11b_Participation_In_Lockdown
35,36_11c1_Describe_you,audio,11c1_Participation_In_Lockdown_Description
36,37_11c2_Anything_els,open,11c2_Participation_In_Lockdown_Description
37,39_12a_Explain_by_au,audio,12a_Explain_by_Audio
38,40_12b_Anything_else,open,12b_Anything_Else
39,41_13Do_you_think_th,fixed,13_Aspects_Reduce_Increase_Risk_Injury_Disease
40,42_13a_Please_select,fixed,13a_Option_Risk_Injury_Disease
41,43_13b1_Would_you_li,unuseful,
42,46_Take_a_photo,picture,13b1_Risk_Injury_Disease_Photo
43,47_Does_this_photo_s,fixed,13b1_Risk_Injury_Disease_Influence_Option
44,48_13b2_Would_you_li,unuseful,
45,51_Take_a_photo,picture,13b2_Risk_Injury_Disease_Photo
46,52_Does_this_photo_s,fixed,13b2_Risk_Injury_Disease_Influence_Option
47,53_13b3_Would_you_li,unuseful,
48,56_Take_a_photo,picture,13b3_Risk_Injury_Disease_Photo
